item sound pos delay
126 PRAC 1 0
124 PRAC 1 0
122 PRAC 1 0
125 PRAC 1 0
121 PRAC 1 0
123 PRAC 1 0
61 STD 5 120
62 STD 2 0
63 STD 3 120
4 DEV 4 0
19 DEV 3 120
7 DEV 3 120
32 DEV 4 0
64 STD 4 0
35 DEV 3 120
18 DEV 2 0
70 STD 2 0
74 STD 2 0
47 DEV 3 120
75 STD 3 120
58 DEV 2 0
56 DEV 4 0
85 STD 5 120
46 DEV 2 0
88 STD 4 0
90 STD 2 0
38 DEV 2 0
30 DEV 2 0
2 DEV 2 0
80 STD 4 0
104 STD 4 0
16 DEV 4 0
29 DEV 5 120
92 STD 4 0
33 DEV 5 120
42 DEV 2 0
41 DEV 5 120
8 DEV 4 0
54 DEV 2 0
15 DEV 3 120
20 DEV 4 0
114 STD 2 0
97 STD 5 120
3 DEV 3 120
23 DEV 3 120
93 STD 5 120
86 STD 2 0
45 DEV 5 120
26 DEV 2 0
36 DEV 4 0
107 STD 3 120
118 STD 2 0
57 DEV 5 120
1 DEV 5 120
120 STD 4 0
12 DEV 4 0
112 STD 4 0
106 STD 2 0
9 DEV 5 120
84 STD 4 0
60 DEV 4 0
40 DEV 4 0
51 DEV 3 120
109 STD 5 120
48 DEV 4 0
69 STD 5 120
82 STD 2 0
100 STD 4 0
105 STD 5 120
6 DEV 2 0
87 STD 3 120
102 STD 2 0
77 STD 5 120
79 STD 3 120
67 STD 3 120
98 STD 2 0
76 STD 4 0
99 STD 3 120
28 DEV 4 0
78 STD 2 0
11 DEV 3 120
94 STD 2 0
21 DEV 5 120
103 STD 3 120
96 STD 4 0
14 DEV 2 0
91 STD 3 120
81 STD 5 120
25 DEV 5 120
39 DEV 3 120
27 DEV 3 120
68 STD 4 0
10 DEV 2 0
17 DEV 5 120
89 STD 5 120
113 STD 5 120
52 DEV 4 0
71 STD 3 120
22 DEV 2 0
65 STD 5 120
83 STD 3 120
95 STD 3 120
5 DEV 5 120
72 STD 4 0
31 DEV 3 120
24 DEV 4 0
111 STD 3 120
117 STD 5 120
110 STD 2 0
34 DEV 2 0
115 STD 3 120
101 STD 5 120
59 DEV 3 120
55 DEV 3 120
116 STD 4 0
50 DEV 2 0
13 DEV 5 120
66 STD 2 0
49 DEV 5 120
37 DEV 5 120
43 DEV 3 120
44 DEV 4 0
119 STD 3 120
73 STD 5 120
108 STD 4 0
53 DEV 5 120
