item sound pos delay
124 PRAC 1 0
126 PRAC 1 0
123 PRAC 1 0
121 PRAC 1 0
125 PRAC 1 0
122 PRAC 1 0
61 STD 2 120
62 STD 3 0
63 STD 4 120
82 STD 3 0
120 STD 5 0
21 DEV 2 120
105 STD 2 120
30 DEV 3 0
89 STD 2 120
64 STD 5 0
106 STD 3 0
37 DEV 2 120
86 STD 3 0
103 STD 4 120
49 DEV 2 120
109 STD 2 120
92 STD 5 0
111 STD 4 120
66 STD 3 0
1 DEV 2 120
10 DEV 3 0
117 STD 2 120
58 DEV 3 0
91 STD 4 120
7 DEV 4 120
24 DEV 5 0
71 STD 4 120
88 STD 5 0
118 STD 3 0
17 DEV 2 120
48 DEV 5 0
27 DEV 4 120
59 DEV 4 120
83 STD 4 120
22 DEV 3 0
99 STD 4 120
18 DEV 3 0
40 DEV 5 0
76 STD 5 0
3 DEV 4 120
112 STD 5 0
57 DEV 2 120
51 DEV 4 120
77 STD 2 120
6 DEV 3 0
43 DEV 4 120
94 STD 3 0
84 STD 5 0
98 STD 3 0
110 STD 3 0
55 DEV 4 120
75 STD 4 120
114 STD 3 0
34 DEV 3 0
11 DEV 4 120
56 DEV 5 0
28 DEV 5 0
39 DEV 4 120
113 STD 2 120
60 DEV 5 0
25 DEV 2 120
45 DEV 2 120
73 STD 2 120
38 DEV 3 0
26 DEV 3 0
95 STD 4 120
96 STD 5 0
65 STD 2 120
67 STD 4 120
29 DEV 2 120
44 DEV 5 0
35 DEV 4 120
93 STD 2 120
74 STD 3 0
119 STD 4 120
4 DEV 5 0
53 DEV 2 120
90 STD 3 0
104 STD 5 0
115 STD 4 120
100 STD 5 0
102 STD 3 0
80 STD 5 0
8 DEV 5 0
50 DEV 3 0
47 DEV 4 120
2 DEV 3 0
19 DEV 4 120
54 DEV 3 0
97 STD 2 120
20 DEV 5 0
41 DEV 2 120
23 DEV 4 120
70 STD 3 0
46 DEV 3 0
16 DEV 5 0
68 STD 5 0
85 STD 2 120
5 DEV 2 120
12 DEV 5 0
52 DEV 5 0
107 STD 4 120
87 STD 4 120
72 STD 5 0
78 STD 3 0
69 STD 2 120
101 STD 2 120
32 DEV 5 0
9 DEV 2 120
13 DEV 2 120
31 DEV 4 120
42 DEV 3 0
14 DEV 3 0
116 STD 5 0
33 DEV 2 120
79 STD 4 120
36 DEV 5 0
108 STD 5 0
15 DEV 4 120
81 STD 2 120
