item sound pos delay
122 PRAC 1 0
126 PRAC 1 0
125 PRAC 1 0
121 PRAC 1 0
123 PRAC 1 0
124 PRAC 1 0
1 STD 2 0
2 STD 3 120
3 STD 4 0
70 DEV 3 120
46 STD 3 120
59 STD 4 0
85 DEV 2 0
74 DEV 3 120
110 DEV 3 120
51 STD 4 0
55 STD 4 0
20 STD 5 120
88 DEV 5 120
44 STD 5 120
106 DEV 3 120
66 DEV 3 120
27 STD 4 0
94 DEV 3 120
69 DEV 2 0
53 STD 2 0
28 STD 5 120
40 STD 5 120
34 STD 3 120
79 DEV 4 0
52 STD 5 120
54 STD 3 120
78 DEV 3 120
11 STD 4 0
82 DEV 3 120
29 STD 2 0
102 DEV 3 120
97 DEV 2 0
16 STD 5 120
35 STD 4 0
38 STD 3 120
75 DEV 4 0
32 STD 5 120
93 DEV 2 0
117 DEV 2 0
19 STD 4 0
10 STD 3 120
81 DEV 2 0
108 DEV 5 120
113 DEV 2 0
39 STD 4 0
112 DEV 5 120
6 STD 3 120
72 DEV 5 120
41 STD 2 0
67 DEV 4 0
33 STD 2 0
80 DEV 5 120
15 STD 4 0
100 DEV 5 120
36 STD 5 120
25 STD 2 0
73 DEV 2 0
60 STD 5 120
23 STD 4 0
8 STD 5 120
111 DEV 4 0
83 DEV 4 0
107 DEV 4 0
48 STD 5 120
64 DEV 5 120
120 DEV 5 120
12 STD 5 120
47 STD 4 0
17 STD 2 0
87 DEV 4 0
99 DEV 4 0
31 STD 4 0
76 DEV 5 120
95 DEV 4 0
22 STD 3 120
9 STD 2 0
5 STD 2 0
50 STD 3 120
7 STD 4 0
63 DEV 4 0
58 STD 3 120
68 DEV 5 120
89 DEV 2 0
45 STD 2 0
116 DEV 5 120
91 DEV 4 0
37 STD 2 0
103 DEV 4 0
114 DEV 3 120
96 DEV 5 120
43 STD 4 0
49 STD 2 0
62 DEV 3 120
18 STD 3 120
4 STD 5 120
98 DEV 3 120
101 DEV 2 0
104 DEV 5 120
56 STD 5 120
84 DEV 5 120
92 DEV 5 120
118 DEV 3 120
26 STD 3 120
21 STD 2 0
119 DEV 4 0
77 DEV 2 0
57 STD 2 0
30 STD 3 120
42 STD 3 120
71 DEV 4 0
61 DEV 2 0
13 STD 2 0
65 DEV 2 0
109 DEV 2 0
115 DEV 4 0
86 DEV 3 120
24 STD 5 120
90 DEV 3 120
105 DEV 2 0
14 STD 3 120
